title,description,genre
The Demon's Bride,"When her daughter is severely injured, a desperate mother makes a deal with a demon to save her — but the price will have to be paid in blood.","Horror, Thriller"
The Man from Toronto,"In a case of mistaken identity, the world’s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at a rental cabin.","Action, Adventure, Comedy"
Ticket to Paradise,Divorced couple Georgia and David find themselves on a shared mission: they team up and travel to Bali to stop their daughter Lily from making the same mistake they once made 25 years ago.,"Drama, Comedy, Romance"
Love Again,"Mira Ray, dealing with the loss of her fiancé, John, sends a series of romantic texts to his old cell phone number… not realizing the number was reassigned to Rob Burns' new work phone. Rob, a journalist, is captivated by the honesty in the beautifully confessional texts. When he’s assigned to write a profile of megastar Céline Dion, he enlists her help in figuring out how to meet Mira in person and win her heart.","Romance, Drama, Comedy"
Porco Rosso,"In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina.","Family, Comedy, Animation, Adventure"
Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.","Action, Fantasy, Adventure"
Joshigakusei: shūdan bōkōjiken,"When the '70s ended the anger of young people rose, differences in social values ​​occurred between adults and young people, and the word ""generation"" began to be widespread among the young people.,The film depicts a group of young men and women who are forced to flee their homes after committing a murder. The screenplay is written by Atsushi Yamatoya, wherein he asks whether these young people are sick or sensible.",
Lethal Weapon 2,Riggs and Murtaugh are on the trail of South African diplomats using their immunity to engage in criminal activities.,"Action, Adventure, Comedy, Crime, Thriller"
The Order,A string of violent robberies in the Pacific Northwest leads veteran FBI agent Terry Husk into a white supremacist plot to overthrow the federal government.,"Crime, Drama, Thriller"
Juken Sentai Gekiranger vs. Boukenger,The team-up movie between Juken Sentai Gekiranger and GoGo Sentai Boukenger. Gekirangers are visited by Boukengers when someone from space with ultimate power threatens the existence of Earth,"Action, Adventure, Science Fiction, Fantasy"
Eden Lake,"When a young couple goes to a remote wooded lake for a romantic getaway, their quiet weekend is shattered by an aggressive group of local kids. Rowdiness quickly turns to rage as the teens terrorize the couple in unimaginable ways, and a weekend outing becomes a bloody battle for survival.","Horror, Thriller"
The Last Kingdom: Seven Kings Must Die,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.","Action, Adventure, War"
Barbie: Princess Charm School,"Barbie stars as Blair Willows, a kind-hearted girl who is chosen to attend Princess Charm School: a magical, modern place that teaches dancing, how to have tea parties, and proper princess manners. Blair loves her classes -- as well as the helpful magical sprites and her new friends, Princesses Hadley and Isla. But when royal teacher Dame Devin discovers that Blair looks a lot like the kingdom’s missing princess, she turns Blair’s world upside down to stop her from claiming the throne. Now Blair, Hadley and Delancy must find an enchanted crown to prove Blair’s true identity in this charming and magical princess story!","Family, Animation, Fantasy"
Cry of Silence,"Cry of Silence, is about a double kidnapping, and assault that is presented as an Action Packed ,Dramatic, Thriller that will keep you riveted.","Thriller, Drama, Action"
K.G.F: Chapter 1,"A period drama set in the 1970s, KGF follows the story of a fierce rebel who rises against the brutal oppression in Kolar Gold Fields and becomes the symbol of hope to legions of downtrodden people.","Action, Thriller, Adventure, Crime"
No Reservations,"Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry, Kate needs to look outside the kitchen to find true happiness.","Comedy, Romance, Drama"
No Reservations,"Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry, Kate needs to look outside the kitchen to find true happiness.","Comedy, Romance, Drama"
Halloween Kills,"Michael manages to free himself from Laurie Strode's trap to resume his ritual bloodbath. As she fights for her life from injuries from their last encounter, she inspires her daughter Karen, her granddaughter Allyson, and all of Haddonfield to rise up against the unstoppable monster.","Horror, Thriller"
The Unbreakable Boy,"When Scott and Teresa LeRette learn that their son Austin is both autistic and has brittle bone disease, they initially worry for their son’s future. But with Scott’s growing faith and Austin’s incredible spirit, they become 'unbreakable', finding joy, gratitude, and courage even in the most trying times.","Family, Drama"
Never Comeback,A criminal breaks out of prison and is quickly back to his old ways.,"Action, Crime"
Bodies Bodies Bodies,"In an isolated family mansion, a group of rich 20-somethings decides to play Bodies Bodies Bodies, a game where one of them is secretly a ""killer"" while the rest tries to ""escape"". Things take a turn for the worse when real bodies start turning up, setting off a paranoid and dangerous chain of events.","Horror, Comedy, Mystery"
"Men, Women & Children","Follows the story of a group of high school teenagers and their parents as they attempt to navigate the many ways the internet has changed their relationships, their communication, their self-image, and their love lives.","Drama, Comedy"
"My sister is a hot girl, so cute 2",,"Romance, Animation"
The Outfit,"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.","Crime, Drama, Thriller, Mystery"
John Q,"John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list.","Drama, Thriller, Crime"
Save the Last Dance For Me,"The true story of a pair of college students who attempted a double suicide to end their doomed romance becomes fare for legendary pinku-eiga director Hisayasu Sato in this feature. Fatalistic and sad, this is one of the more depressing Japanese softcore films, and Sato makes it even worse by including footage from the lovers’ actual 8 mm experimental film throughout the story","Crime, Drama"
Snack Shack,"Inseparable best friends AJ and Moose decide to run the local pool's snack shack after their plan to sell home-brewed beer goes down the drain. Things take a turn when they meet Brooke, an effortlessly cool lifeguard who puts their big plans, and friendship, at risk.",Comedy
Taxi,A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.,"Action, Comedy, Thriller, Crime"
Batman Forever,"In the looming shadows of Gotham City, two villainous souls devise twin schemes of revenge against the city's dark guardian. Two-Face, disfigured by chance and fueled by vengeance, is obsessed with destroying Batman, while the Riddler, a disillusioned genius, pursues the destruction of billionaire Bruce Wayne. Together they've hatched a plot to absorb and control the minds of all of Gotham City's residents, and only Batman and his new partner, Robin, can stop them! But the Dark Knight is hindered by a mystery from his own childhood. He must hope that a new found love can help him overcome the incident that made him what he is. In the end, he must decide: will he be Batman—forever?","Action, Crime, Fantasy"
Young Mother 2,"Yeong-gil is in graduate class and is stressed about getting a job. To make things worse, he's not had any experience with women yet, so he's always searching for something in his dreams but wakes up to nothing. Then one day, there is a change in his life, he puts his hand in The Box of Pandora and gets a job although it wasn't a regular position. He sleeps with his female superior during the interview even though it's not how he imagined it. Then one day, he visits Joo-yeon's home and meets her beautiful mother. Can he keep himself from being seduced by this woman?","Drama, Romance"
Watcher,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.","Horror, Mystery, Thriller"
Army of Thieves,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,"Action, Crime, Comedy"
Priest,"In an alternate world, humanity and vampires have warred for centuries. After the last Vampire War, the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires, the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend, who is a wasteland sheriff, and a former Warrior Priestess.","Action, Fantasy, Horror, Thriller"
The Match,"When a legendary Go master loses his title to a one-time friend and protégé, he sets out to reclaim it in a high-stakes battle of wits and skill.",Drama
Open Season,"Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.","Animation, Family, Adventure, Comedy"
Love Actually,Eight very different couples deal with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London.,"Comedy, Romance, Drama"
Golden Kamuy,"On the Hokkaido frontier, a war veteran and Ainu girl race against misfits and military renegades to find treasure mapped out on tattooed outlaws.","Action, Adventure, Comedy"
Ace Ventura: Pet Detective,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!","Comedy, Mystery, Crime, Adventure"
Meet the Parents,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.","Comedy, Romance"
Close Encounters of the Third Kind,"After an encounter with UFOs, an electricity linesman feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.","Science Fiction, Drama"
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.","Adventure, Fantasy, Romance, Family"
Assassin's Creed,"Through a technology that unlocks the generic memories of his ancestor in 15th century Spain, Callum Lynch discovers he is a descendant of an ancient line of Assassins and amasses lethal skills to take on the oppressive Templar Order.","Action, Adventure, Science Fiction"
The Wonderful Story of Henry Sugar,A rich man learns about a guru who can see without using his eyes. He sets out to master the skill in order to cheat at gambling.,"Comedy, Fantasy, Adventure"
Call Boy,"Ryo Morinaka is a university student and works part-time at a bar. He is bored with his daily life and exists in a state of torpor. One day, his friend Shinya Tajima brings the owner of a host bar over to the place where Ryo Morinaka works. Shizuka Mido is the owner of the host bar. Soon, Ryo Morinaka begins to work for Shizuka Mido at the members only host bar. He feels embarrassment initially, but he fulfills the desires of women and develops a sense of purpose.",Drama
2 Guns,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,"Action, Comedy, Crime"
Bride Hard,"Sam is a secret agent whose toughest mission to date is pleasing her bride-to-be best friend at a lavish destination wedding. When a team of mercenaries crashes the party and takes the guests hostage, Sam is thrown into a fight unlike any before — one where she can’t risk blowing her cover or ruining the big day. As she takes on the bad guys in a high-stakes battle disguised as a fairy-tale affair, she realizes the real threat might be closer than she thinks.","Action, Comedy"
The Magnificent Seven,An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.,"Western, Action, Adventure"
Insidious: Chapter 2,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,"Horror, Thriller"
Love Don't Co$t a Thing,A high school outcast pays a cheerleader to pose as his girlfriend so he can be considered cool.,"Comedy, Drama, Family, Romance"
Goosebumps,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.","Adventure, Horror, Comedy"
Original Sin,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp.","Thriller, Drama, Mystery, Romance"
Dirty Ice Cream,"Villagers are experiencing an extreme heat. Two hot ice cream vendors come to the village to sell ice cream. With electricity out, the women of the subdivision take turns having the vendors satisfy their every needs.",Drama
Fear Street: 1978,"In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive.","Horror, Mystery"
Bosomy Mom 2,"Min-soo and Jae-hyeok is in a good father-and-son relationship. But one day, Min-soo brings Jae-hyeok's young stepmother, Da-hee. Jae-hyeok leaves home to wander around, ran into Da-hee's friend, Na-yeon, and had a little talk. Na-yeon calls Da-hee... Da-hee goes home with Jae-hyeok, and Min-soo doesn't care much. Jae-hyeok tells Da-hee how he feels. Meanwhile, Min-soo who disapproves Da-hee and Jae-hyeok's relationship, calls Na-yeon to kill some time. And Na-yeon who is worried about Da-hee and Min-soo crafts a new plan...",Romance
My Spy,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.","Family, Action, Comedy"
Happy Feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!","Animation, Comedy, Family"
Daddy's Home 2,Brad and Dusty must deal with their intrusive fathers during the holidays.,Comedy
I Still Know What You Did Last Summer,"Ever since killing the Fisherman one year ago, Julie James is still haunted by images of him after her. When her best friend Karla wins free tickets to the Bahamas, Julie finds this a perfect opportunity to finally relax. But someone is waiting for her. Someone who she thought was dead. Someone who is out again for revenge.","Horror, Mystery, Thriller"
Thir13en Ghosts,"Arthur and his two children inherit his uncle's estate: a glass house that serves as a prison to twelve ghosts. When the family, accompanied by a nanny and an attorney, enter the house they find themselves trapped inside an evil machine 'designed by the Devil and powered by the dead' to open the Eye of Hell. Aided by a ghost hunter and his rival, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.","Horror, Thriller"
Quid Games,"Seven college students are forced to compete in children's games for survival. With their futures unclear, the secrets of their pasts are revealed.","Action, Horror, Mystery, Thriller, Drama"
October Sky,"Homer Hickam is a kid with only one future in sight, to work in the local coal mine like his father. However, in October 1957 everything changes when the first artificial satellite, Sputnik, goes into orbit. When Homer sees the Soviet satellite streak overhead, he becomes inspired to learn how to build rockets. With the help of his friends, and the local nerd, Homer sets to do just that by trial and a lot of error. Unfortunately, most of the town, and especially Homer's father, thinks that they are wasting their time. Only one teacher understands their efforts and lets them know that they could become contenders in the national science fair with college scholarships being the prize. Now the gang must learn to perfect their craft and overcome the many problems facing them as they shoot for the stars.","Drama, Family"
Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.","Action, Adventure, Science Fiction"
Candyman,"A Chicago artist's sanity starts to unravel, unleashing a terrifying wave of violence when he begins to explore the macabre history of the Candyman.","Horror, Thriller"
Sniper: Rogue Mission,"When a crooked federal agent is involved in a human sex trafficking ring, Sniper and CIA Rookie Brandon Beckett goes rogue, teaming up with his former allies Homeland Security Agent Zero and assassin Lady Death to uncover the corrupt agent and take down the criminal organization.","Action, Thriller, Mystery"
Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,"Action, Crime, Drama"
Father Stu,"The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career, Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk, he meets Carmen, a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over, the longtime agnostic starts going to church to impress her. However, a motorcycle accident leaves him wondering if he can use his second chance to help others, leading to the surprising realization that he's meant to be a Catholic priest.",Drama
Shin Ultraman,"The Japanese government sets up a special task force to fight the giant creatures suddenly appearing across the country. Soon, the squad unexpectedly meets a giant silver humanoid who starts appearing every time a space monster attacks!","Action, Science Fiction"
Underdogs,"All seems well for Amadeo, a shy but talented foosball player who's in love with the free-spirited Laura. Trouble strikes when Grosso, the world's best soccer player, returns home with plans to destroy the village and turn it into a new sports stadium. When Grosso kidnaps Laura, Amadeo receives the ultimate surprise when the figurines from his foosball table spring to life to help him save his beloved and reclaim the town.","Animation, Adventure, Romance"
Last Seen Alive,"After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.","Action, Thriller"
DodgeBall: A True Underdog Story,"When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all.",Comedy
Awakenings,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",Drama
Woody Woodpecker Goes to Camp,"After getting kicked out of the forest, Woody thinks he's found a forever home at Camp Woo Hoo — until an inspector threatens to shut down the camp.","Family, Comedy, Animation"
Miss Congeniality,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.","Comedy, Crime, Action"
Ron's Gone Wrong,"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.","Animation, Science Fiction, Family, Comedy"
Friday the 13th Part III,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naïve friends. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason, who stalks them at every turn...","Horror, Thriller"
SeX,,Science Fiction
SeX,,Science Fiction
"Paris, Texas","A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",Drama
Total Recall,"Factory worker Doug Quaid takes a virtual mind-trip vacation with the Rekall company, opting for implanted memories of being a spy. When the procedure goes wrong, Quaid becomes a wanted man by the police and joins forces with a rebel fighter to stop the evil Chancellor Cohaagen.","Action, Science Fiction, Thriller"
Shortbus,"In post-9/11 New York City, an eclectic group of citizens find their lives entangled, personally, romantically, and sexually, at Shortbus, an underground Brooklyn salon infamous for its blend of art, music, politics, and carnality.","Romance, Drama, Comedy"
Diary of a Wimpy Kid,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!","Comedy, Family"
The Shrouds,"Inconsolable since the death of his wife, Karsh, a prominent businessman, invents a revolutionary and controversial technology that enables the living to monitor their dear departed in their shrouds. One night, multiple graves, including that of Karsh’s wife, are desecrated, and he sets out to track down the perpetrators.","Science Fiction, Drama, Horror, Thriller"
Dragon Ball Z: Dead Zone,"In order to wish for immortality and avenge his father, Garlic Jr. collects the dragon balls, kidnapping Goku's son Gohan in the process. Goku, Kami, Piccolo, and Krillin unite to rescue Gohan and save the world from being sucked into a dead zone.","Animation, Action, Fantasy"
Midway,"The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.","Action, War, History"
Judge Dredd,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.","Science Fiction, Action"
Coach Carter,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.","Drama, History"
The Babadook,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.","Drama, Horror"
Guinea Pig: Devil's Experiment,Masked thugs torture an innocent woman in increasingly brutal ways.,Horror
Easy A,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",Comedy
Dragon Ball: Yo! Son Goku and His Friends Return!!,"Following the defeat of Majin Buu, Son Goku and friends travel to Mr. Satan's newly-opened hotel for an all-you-can-eat banquet, when they are paid a visit by Vegeta's younger brother Tarble. They are informed by Tarble that the terrible brother duo of Abo and Cado have terrorized his planet and are on their way to Earth.","Animation, Action, Adventure, Science Fiction, Comedy"
BlackBerry,Two mismatched entrepreneurs – egghead innovator Mike Lazaridis and cut-throat businessman Jim Balsillie – joined forces in an endeavour that was to become a worldwide hit in little more than a decade. The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"Comedy, Drama"
A Haunting in Venice,"Celebrated sleuth Hercule Poirot, now retired and living in self-imposed exile in Venice, reluctantly attends a Halloween séance at a decaying, haunted palazzo. When one of the guests is murdered, the detective is thrust into a sinister world of shadows and secrets.","Mystery, Thriller, Crime"
This Is the End,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.","Action, Comedy"
Never Say Never Again,"James Bond returns as the secret agent 007 to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally in Largo's girlfriend, the willowy Domino, who falls for Bond and seeks revenge.","Adventure, Action, Thriller"
Abominable,"A group of misfits encounter a young Yeti named Everest, and they set off to reunite the magical creature with his family on the mountain of his namesake.","Family, Animation, Adventure, Comedy"
Beauty and the Beast: The Enchanted Christmas,"Astonished to find the Beast has a deep-seeded hatred for the Christmas season, Belle endeavors to change his mind on the matter.","Animation, Family, Fantasy"
Terrified,Police commissioner Funes and three researchers of supernatural phenomena investigate inexplicable events that are occurring in the suburbs of Buenos Aires.,Horror
Anakan Mo Ako,"This movie is a story about a forest tribe with one dominant male, one old male and the rest are all females. The rules of the tribe are the dominant male can only mate with the other females once his wife has given him an heir, which causes friction with the other females as they need to repopulate their tribe with offsprings. A male nature photographer from the city happens to find his way to the tribe. He is virile and could be the answer to the tribe's problem, but as with lion prides, the alpha male of the group won't accept him so willingly, especially if the intruder's eyes are set on his own wife.","Drama, Romance"
Swordfish,"Rogue agent Gabriel Shear is determined to get his mitts on $9 billion stashed in a secret Drug Enforcement Administration account. He wants the cash to fight terrorism, but lacks the computer skills necessary to hack into the government mainframe. Enter Stanley Jobson, a n'er-do-well encryption expert who can log into anything.","Action, Crime, Thriller"
Evil Dead,"Mia, a drug addict, is determined to kick the habit. To that end, she asks her brother, David, his girlfriend, Natalie and their friends Olivia and Eric to accompany her to their family's remote forest cabin to help her through withdrawal. Eric finds a mysterious Book of the Dead at the cabin and reads aloud from it, awakening an ancient demon. All hell breaks loose when the malevolent entity possesses Mia.",Horror
The Forever Purge,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,"Action, Horror, Thriller"
Signs,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,"Drama, Thriller, Science Fiction, Mystery"
Mother-in-law in Love With Son-in-law 4,"Joon-yeon and So-hyeon are living together with Joon-yeon's young and pretty mother-in-law for a while after his father-in-law remarries. One day, Joon-yeon is left home alone with his mother-in-law due to So-hyeon and her father-in-law's sudden business trip. The mother-in-law seduces her handsome son-in-law on a hot night. Unable to forget the sex he had with his mother-in-law, Joon-yeon even plans to have a threesome with his wife and his mother-in-law.",Romance
Magic Mike's Last Dance,"Mike Lane takes to the stage again after a lengthy hiatus, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. For what he hopes will be one last hurrah, Mike heads to London with a wealthy socialite who lures him with an offer he can’t refuse… and an agenda all her own. With everything on the line, once Mike discovers what she truly has in mind, will he—and the roster of hot new dancers he’ll have to whip into shape—be able to pull it off?","Comedy, Drama, Romance"
True Grit,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.","Drama, Adventure, Western"
Cobweb,"Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wall—one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trustworthiness.",Horror
Cliffhanger,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.","Action, Adventure, Thriller"
The Warriors,"Prominent gang leader Cyrus calls a meeting of New York's gangs to set aside their turf wars and take over the city. At the meeting, a rival leader kills Cyrus, but a Coney Island gang called the Warriors is wrongly blamed for Cyrus' death. Before you know it, the cops and every gangbanger in town is hot on the Warriors' trail.","Action, Thriller"
Leggings Mania,"Jeong-hee was living with a man due to a de facto marriage. One day, her daughter, Dam-hoi, returned from her study abroad. Dam-hoi always wears leggings. The soon-to-be stepdad, Byeong-min, who is usually a fan of leggings, pays attention to her daughter's clothes. Jeong-hee noticed it, so she also started wearing leggings to distract her young prospective husband.","Drama, Romance"
Night of the Living Dead,"A group of strangers trapped in a farmhouse find themselves fending off a horde of recently dead, flesh-eating ghouls.",Horror
Child's Play 2,"Chucky is reconstructed by a toy factory to dispel the negative publicity surrounding the doll, and tracks young Andy Barclay to a foster home where the chase begins again.","Horror, Thriller"
True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.","Action, Crime, Romance"
Contagion,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.","Drama, Thriller, Science Fiction"
The Forbidden City,In the suburbs of Rome two very different souls intersect. One is the son of a restaurant owner who disappeared with his lover. The other is a young mysterious woman who has arrived from China in search of her missing sister.,"Action, Romance, Drama"
White Snake,"One day a young woman named Blanca is saved by Xuan, a snake catcher from a nearby village. She has lost her memory, and together they go on a journey to discover her real identity, developing deeper feelings for one another along the way. But as they learn more about her past, they uncover a darker plot of supernatural forces vying for power, with the fate of the world hanging in the balance.","Romance, Animation, Fantasy"
Blow,"A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.","Crime, Drama"
The Forbidden City,In the suburbs of Rome two very different souls intersect. One is the son of a restaurant owner who disappeared with his lover. The other is a young mysterious woman who has arrived from China in search of her missing sister.,"Action, Romance, Drama"
White Snake,"One day a young woman named Blanca is saved by Xuan, a snake catcher from a nearby village. She has lost her memory, and together they go on a journey to discover her real identity, developing deeper feelings for one another along the way. But as they learn more about her past, they uncover a darker plot of supernatural forces vying for power, with the fate of the world hanging in the balance.","Romance, Animation, Fantasy"
Blow,"A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.","Crime, Drama"
Charlie's Angels,"Elena Houghlin is a scientist, engineer and inventor of Calisto -- a sustainable energy source that will revolutionize the way people use power. It will be ready as soon as she works out the last issue, if not it could be turned into a dangerous weapon. But when the cutting edge technology is pushed to an investor before she can do that, Elena turns to the Townsend Agency for help. Now, it's up to the Angels -- Jane, Sabina, and the newly recruited Elena -- to retrieve Calisto before it can be transformed into a weapon of mass destruction.","Action, Adventure, Comedy"
An Affair: Kind Daughters-in-law,"When the oldest son fails in business and the younger son dies in an accident, Hyunwook unintentionally lives with his two daughters-in-law. Then one day, Hyun-wook accidentally sees a small daughter-in-law taking a shower, and since then, her daughter-in-law continues to look like a woman, not a family. Besides, the daughters-in-law who have been alone for a long time are also noticing Hyunwook…",Romance
